Словникова форма,част. мови,абс. частота,відн. частота
бік,ім.,25 571,6
хтось,займ.,25 443,6
україна,ім.,25 388,6
наче,спол.,25 306,6
бог,ім.,24 945,6
воно,займ.,24 789,6
дати,діє. д.в.,24 505,6
ніколи,присл.,23 934,6
між,прийм.,23 873,7
хлопець,ім.,23 790,7
розуміти,діє. н.в.,23 197,7
пан,ім.,23 101,7
ніч,ім.,22 910,7
при,прийм.,22 905,7
хіба,спол.,22 870,7
правда,ім.,22 847,7
вода,ім.,22 758,7
давати,діє. н.в.,22 702,7
останній,прикм.,22 559,7
погляд,ім.,22 332,7
ніхто,займ.,22 274,7
дівчина,ім.,22 240,7
багато,присл.,22 024,7
мов,спол.,21 689,7
сонце,ім.,21 555,7
раптом,присл.,21 467,7
стіл,ім.,21 338,7
небо,ім.,21 121,7
тіло,ім.,21 075,7
завжди,присл.,21 066,7
любити,діє. н.в.,21 060,7
прийти,діє. д.в.,21 041,7
о,прийм.,21 026,7
відповісти,діє. д.в.,20 919,7
річ,ім.,20 914,7
справді,присл.,20 907,7
десь,присл.,20 739,7
нема,присудкове слово,20 527,7
поки,присл.,20 445,7
народ,ім.,20 445,7
ходити,діє. н.в.,20 197,7
мабуть,вставне слово,19 993,7
разом,присл.,19 943,7
майже,присл.,19 880,7
котрий,займ.,19 820,7
місто,ім.,19 724,7
подумати,діє. д.в.,19 639,7
плече,ім.,19 635,7
чекати,діє. н.в.,19 606,7
знайти,діє. д.в.,19 574,7
жити,діє. н.в.,19 382,7
раз,ім.,19 099,7
таки,частка,19 011,7
вікно,ім.,18 836,7
куди,присл.,18 612,7
син,ім.,18 550,7
серед,прийм.,18 508,7
спитати,діє. д.в.,18 301,7
смерть,ім.,18 276,7
лежати,діє. н.в.,18 232,7
мусити,діє. н.в.,18 143,7
слухати,діє. н.в.,17 989,7
також,присл.,17 929,7
стіна,ім.,17 770,7
повернутися,діє. д.в.,17 770,7
взяти,діє. д.в.,17 755,7
хай,частка,17 624,7
хвилина,ім.,17 489,7
іти,діє. н.в.,17 398,7
боятися,діє. н.в.,17 232,7
аби,присл.,17 198,7
сьогодні,присл.,17 122,7
мама,ім.,16 942,7
ніж,спол.,16 851,7
кінь,ім.,16 767,7
зрозуміти,діє. д.в.,16 683,7
од,прийм.,16 519,7
довго,присл.,16 508,7
колись,присл.,16 506,7
молодий,прикм.,16 267,7
мало,присл.,16 236,7
виходити,діє. н.в.,16 137,7
запитати,діє. д.в.,16 126,7
нарешті,присл.,16 036,7
часом,присл.,15 823,7
високий,прикм.,15 785,7
кімната,ім.,15 617,7
справа,ім.,15 614,7
червоний,прикм.,15 599,7
мова,ім.,15 568,7
цілий,прикм.,15 527,7
село,ім.,15 416,7
просити,діє. н.в.,15 403,7
власний,прикм.,15 301,7
немає,присудкове слово,15 248,7
білий,прикм.,15 080,7
шукати,діє. н.в.,14 956,7
князь,ім.,14 812,7
проти,присл.,14 680,7
Іван,ім.,14 565,7
проте,спол.,14 522,7
довгий,прикм.,14 420,7
якби,спол.,14 388,7
писати,діє. н.в.,14 170,7
вулиця,ім.,14 168,7
скільки,кіл. числ.,14 164,7
оцей,займ.,14 094,7
палець,ім.,14 054,7
намагатися,діє. н.в.,14 037,7
видно,присудкове слово,13 989,7
якось,присл.,13 954,7
почути,діє. д.в.,13 943,7
година,ім.,13 787,7
працювати,діє. н.в.,13 744,7
статися,діє. д.в.,13 670,7
дерево,ім.,13 617,7
хоча,спол.,13 500,7
подивитися,діє. д.в.,13 464,7
сей,займ.,13 290,7
розмова,ім.,13 273,7
швидко,присл.,13 252,7
машина,ім.,13 139,7
давно,присл.,13 073,7
місяць,ім.,13 019,7
краще,присл.,13 001,7
глянути,діє. д.в.,12 947,7
живий,прикм.,12 907,7
увага,ім.,12 897,7
мовчати,діє. н.в.,12 698,7
тихо,присл.,12 623,7
тисяча,ім.,12 594,7
ставати,діє. н.в.,12 555,7
брат,ім.,12 515,7
сюди,присл.,12 509,7
адже,спол.,12 455,7
їхати,діє. н.в.,12 446,7
історія,ім.,12 435,7
туди,присл.,12 279,7
мить,ім.,12 256,7
мовити,діє. н.д.в.,12 236,7
одразу,присл.,12 183,7
маленький,прикм.,12 164,7
забути,діє. д.в.,12 117,7
шлях,ім.,12 114,7
ім'я,ім.,12 109,7
звичайно,присл.,12 105,7
вирішити,діє. д.в.,11 976,7
відчути,діє. д.в.,11 935,8
вітер,ім.,11 858,8
хотітися,діє. н.в.,11 850,8
стало,присл.,11 841,8
товариш,ім.,11 819,8
відчувати,діє. н.в.,11 800,8
дід,ім.,11 726,8
вважати,діє. н.в.,11 723,8
отже,спол.,11 644,8
вогонь,ім.,11 640,8
з'явитися,діє. д.в.,11 538,8
мати,ім.,11 512,8
починати,діє. н.в.,11 464,8
кинути,діє. д.в.,11 453,8
читати,діє. н.в.,11 430,8
хвиля,ім.,11 419,8
Петро,ім.,11 378,8
повітря,ім.,11 320,8
взагалі,присл.,11 216,8
вірити,діє. н.в.,11 202,8
помітити,діє. д.в.,11 183,8
ніякий,займ.,11 164,8
досить,присл.,11 162,8
тримати,діє. н.в.,11 159,8
козак,ім.,11 151,8
підійти,діє. д.в.,11 128,8
отой,займ.,11 081,8
ворог,ім.,11 042,8
крізь,прийм.,11 039,8
схожий,прикм.,11 014,8
справжній,прикм.,10 976,8
додому,присл.,10 944,8
дорога,ім.,10 935,8
сісти,діє. д.в.,10 884,8
третій,пор. числ.,10 843,8
знов,присл.,10 841,8
військо,ім.,10 785,8
крок,ім.,10 753,8
темний,прикм.,10 739,8
вечір,ім.,10 672,8
змогти,діє. д.в.,10 663,8
єдиний,прикм.,10 604,8
Микола,ім.,10 490,8
будинок,ім.,10 480,8
назад,присл.,10 446,8
дружина,ім.,10 426,8
малий,прикм.,10 415,8
частина,ім.,10 405,8
дитина,ім.,10 370,8
спати,діє. н.в.,10 360,8
сльоза,ім.,10 349,8
показати,діє. д.в.,10 340,8
важко,присл.,10 324,8
питати,діє. н.в.,10 321,8
пам'ятати,діє. н.в.,10 270,8
чужий,прикм.,10 266,8
церква,ім.,10 262,8
страшний,прикм.,10 147,8
поїхати,діє. д.в.,10 125,8
залишитися,діє. д.в.,10 056,8
школа,ім.,10 051,8
досі,присл.,9 971,8
їсти,діє. н.в.,9 939,8
берег,ім.,9 922,8
дух,ім.,9 870,8
влада,ім.,9 828,8
кінець,ім.,9 761,8
щастя,ім.,9 761,8
кинутися,діє. д.в.,9 687,8
зупинитися,діє. д.в.,9 670,8
геть,вигук,9 573,8
покласти,діє. д.в.,9 567,8
дивний,прикм.,9 566,8
вухо,ім.,9 537,8
згадати,діє. д.в.,9 501,8
гарний,прикм.,9 471,8
широкий,прикм.,9 426,8
любов,ім.,9 410,8
цілком,присл.,9 350,8
довестися,діє. д.в.,9 338,8
звідки,присл.,9 302,8
лист,ім.,9 297,8
капітан,ім.,9 295,8
двір,ім.,9 286,8
далекий,прикм.,9 271,8
лице,ім.,9 267,8
Андрій,ім.,9 198,8
тобто,спол.,9 160,8
ой,вигук,9 127,8
рідний,прикм.,9 090,8
ані,спол.,9 087,8
сон,ім.,9 064,8
можливо,присл.,9 061,8
хліб,ім.,9 013,8
відразу,присл.,8 997,8
невже,частка,8 941,8
рух,ім.,8 912,8
деякий,займ.,8 876,8
держава,ім.,8 863,8
мовчки,присл.,8 844,8
корабель,ім.,8 810,8
поставити,діє. д.в.,8 787,8
промовити,діє. д.в.,8 772,8
гора,ім.,8 755,8
старший,прикм.,8 733,8
крім,прийм.,8 721,8
завтра,присл.,8 702,8
відповідь,ім.,8 690,8
дім,ім.,8 682,8
холодний,прикм.,8 671,8
випадок,ім.,8 659,8
кричати,діє. н.в.,8 655,8
збиратися,діє. н.в.,8 632,8
особливо,присл.,8 610,8
біль,ім.,8 568,8
надто,присл.,8 559,8
кожен,займ.,8 559,8
книжка,ім.,8 553,8
праця,ім.,8 543,8
немов,спол.,8 502,8
приходити,діє. н.в.,8 498,8
далеко,присл.,8 484,8
всього,присл.,8 449,8
написати,діє. д.в.,8 443,8
гетьман,ім.,8 440,8
знайомий,прикм.,8 431,8
волосся,ім.,8 429,8
допомогти,діє. д.в.,8 422,8
кий,ім.,8 417,8
однак,присл.,8 349,8
російський,прикм.,8 322,8
зітхнути,діє. д.в.,8 263,8
Василь,ім.,8 248,8
бити,діє. н.в.,8 235,8
раніше,присл.,8 223,8
нехай,частка,8 207,8
долоня,ім.,8 152,8
ліжко,ім.,8 150,8
приїхати,діє. д.в.,8 119,8
сміятися,діє. н.в.,8 075,8
розум,ім.,8 066,8
слід,присудкове слово,8 042,8
виявитися,діє. д.в.,8 036,8
навколо,присл.,8 009,8
доля,ім.,7 983,8
спокійно,присл.,7 926,8
сестра,ім.,7 903,8
питання,ім.,7 900,8
Марія,ім.,7 883,8
сподіватися,діє. н.в.,7 880,8
сніг,ім.,7 871,8
лиш,спол.,7 858,8
спробувати,діє. д.в.,7 852,8
пити,діє. н.в.,7 847,8
поруч,присл.,7 841,8
польський,прикм.,7 840,8
добрий,прикм.,7 791,8
слава,ім.,7 771,8
величезний,прикм.,7 761,8
важкий,прикм.,7 758,8
бій,ім.,7 741,8
пройти,діє. д.в.,7 738,8
он,частка,7 702,8
чомусь,присл.,7 678,8
країна,ім.,7 668,8
професор,ім.,7 649,8
викликати,діє. н.в.,7 634,8
принести,діє. д.в.,7 601,8
коліно,ім.,7 601,8
дядько,ім.,7 581,8
називати,діє. н.в.,7 550,8
часто,присл.,7 548,8
головний,прикм.,7 540,8
баба,ім.,7 529,8
підняти,діє. д.в.,7 525,8
розповідати,діє. н.в.,7 498,8
книга,ім.,7 486,8
значить,вставне слово,7 482,8
закон,ім.,7 471,8
лишитися,діє. д.в.,7 450,8
вигляд,ім.,7 445,8
гадати,діє. н.в.,7 416,8
відповідати,діє. н.в.,7 408,8
впасти,діє. д.в.,7 360,8
тиждень,ім.,7 359,8
співати,діє. н.в.,7 355,8
душа,ім.,7 323,8
брати,діє. н.в.,7 320,8
грати,діє. н.в.,7 314,8
військовий,прикм.,7 313,8
річка,ім.,7 312,8
певно,присл.,7 310,8
замість,прийм.,7 259,8
спочатку,присл.,7 244,8
власне,частка,7 243,8
боротьба,ім.,7 240,8
належати,діє. н.в.,7 228,8
радість,ім.,7 228,8
надія,ім.,7 207,8
навіщо,присл.,7 204,8
кров,ім.,7 197,8
пояснити,діє. д.в.,7 180,8
степ,ім.,7 177,8
здатися,діє. д.в.,7 165,8
повертатися,діє. н.в.,7 159,8
бігти,діє. н.в.,7 133,8
дощ,ім.,7 130,8
Дмитро,ім.,7 129,8
ідея,ім.,7 100,8
камінь,ім.,7 086,8
існувати,діє. н.в.,7 063,8
минулий,прикм.,7 026,8
п'ять,кіл. числ.,7 020,8
опинитися,діє. д.в.,6 982,8
початок,ім.,6 981,8
додати,діє. д.в.,6 972,8
розповісти,діє. д.в.,6 966,8
вільний,прикм.,6 965,8
справа,присл.,6 960,8
ледь,присл.,6 959,8
наука,ім.,6 935,8
зайти,діє. д.в.,6 927,8
почуття,ім.,6 924,8
легко,присл.,6 903,8
майбутній,прикм.,6 899,8
тінь,ім.,6 897,8
мертвий,прикм.,6 880,8
віддати,діє. д.в.,6 831,8
пам'ять,ім.,6 829,8
сідати,діє. н.в.,6 825,8
падати,діє. н.в.,6 817,8
з-під,прийм.,6 809,8
святий,прикм.,6 797,8
сотня,ім.,6 797,8
форма,ім.,6 792,8
залишити,діє. д.в.,6 790,8
летіти,діє. н.в.,6 776,8
чистий,прикм.,6 766,8
допомога,ім.,6 765,8
трава,ім.,6 754,8
ледве,присл.,6 752,8
дочка,ім.,6 751,8
гаразд,присл.,6 741,8
колишній,прикм.,6 720,8
забрати,діє. д.в.,6 718,8
дістати,діє. д.в.,6 708,8
стільки,присл.,6 702,8
об,прийм.,6 681,8
дозволити,діє. д.в.,6 666,8
роман,ім.,6 636,8
сірий,прикм.,6 615,8
двадцять,кіл. числ.,6 604,8
наступний,прикм.,6 593,8
повернути,діє. д.в.,6 589,8
тиша,ім.,6 589,8
темрява,ім.,6 582,8
інакше,присл.,6 575,8
десять,кіл. числ.,6 573,8
гра,ім.,6 555,8
ждати,діє. н.в.,6 523,8
хмара,ім.,6 520,8
поріг,ім.,6 507,8
друг,ім.,6 504,8
ніяк,присл.,6 502,8
постать,ім.,6 499,8
підвестися,діє. д.в.,6 420,8
звичайний,прикм.,6 404,8
різний,прикм.,6 403,8
скоро,присл.,6 392,8
національний,прикм.,6 380,8
система,ім.,6 377,8
нагадувати,діє. н.в.,6 376,8
московський,прикм.,6 374,8
плакати,діє. н.в.,6 358,8
кишеня,ім.,6 343,8
політичний,прикм.,6 338,8
будь-який,займ.,6 317,8
потрапити,діє. д.в.,6 312,8
зелений,прикм.,6 301,8
війна,ім.,6 298,8
несподівано,присл.,6 261,8
веселий,прикм.,6 244,8
погодитися,діє. д.в.,6 239,8
доки,присл.,6 233,8
подібний,прикм.,6 215,8
тихий,прикм.,6 210,8
вміти,діє. н.в.,6 203,8
лікар,ім.,6 193,8
божий,прикм.,6 191,8
щойно,присл.,6 189,8
Іванович,ім.,6 186,8
зникнути,діє. д.в.,6 174,8
жаль,присудкове слово,6 170,8
ніс,ім.,6 169,8
Михайло,ім.,6 151,8
глибокий,прикм.,6 131,8
полковник,ім.,6 107,8
отак,присл.,6 100,8
згадувати,діє. н.в.,6 099,8
сорочка,ім.,6 072,8
природа,ім.,6 069,8
повірити,діє. д.в.,6 068,8
нести,діє. н.в.,6 059,8
прийняти,діє. д.в.,6 058,8
іще,присл.,6 049,8
подати,діє. д.в.,6 024,8
чоло,ім.,6 009,8
наказати,діє. д.в.,5 995,8
господар,ім.,5 993,8
зустріч,ім.,5 980,9
відомий,прикм.,5 949,9
світло,присл.,5 948,9
посміхнутися,діє. д.в.,5 943,9
швидше,присл.,5 940,9
більший,прикм.,5 914,9
чогось,присл.,5 909,9
виглядати,діє. н.в.,5 904,9
проблема,ім.,5 901,9
залишатися,діє. н.в.,5 900,9
істота,ім.,5 883,9
розмовляти,діє. н.в.,5 875,9
вести,діє. н.в.,5 872,9
армія,ім.,5 867,9
крик,ім.,5 857,9
група,ім.,5 849,9
вночі,присл.,5 849,9
сто,кіл. числ.,5 841,9
показувати,діє. н.в.,5 840,9
вперше,присл.,5 835,9
німецький,прикм.,5 830,9
цар,ім.,5 829,9
табір,ім.,5 819,9
спокій,ім.,5 811,9
іноді,присл.,5 809,9
чорт,ім.,5 805,9
насправді,присл.,5 801,9
вдатися,діє. д.в.,5 793,9
золотий,прикм.,5 782,9
рушити,діє. д.в.,5 781,9
кидати,діє. н.в.,5 753,9
тож,спол.,5 741,9
ворота,ім.,5 734,9
стан,ім.,5 733,9
господа,ім.,5 727,9
короткий,прикм.,5 725,9
собака,ім.,5 724,9
газета,ім.,5 722,9
зрештою,присл.,5 722,9
густий,прикм.,5 720,9
знак,ім.,5 715,9
море,ім.,5 706,9
стати,діє. д.в.,5 701,9
член,ім.,5 692,9
початися,діє. д.в.,5 684,9
бажання,ім.,5 683,9
подобатися,діє. н.в.,5 675,9
король,ім.,5 669,9
назвати,діє. д.в.,5 663,9
вигукнути,діє. д.в.,5 656,9
запитання,ім.,5 647,9
план,ім.,5 646,9
обережно,присл.,5 639,9
Степан,ім.,5 614,9
папір,ім.,5 585,9
човен,ім.,5 576,9
заходити,діє. н.в.,5 573,9
Дніпро,ім.,5 566,9
провести,діє. д.в.,5 554,9
поміж,прийм.,5 552,9
кивнути,діє. д.в.,5 546,9
віра,ім.,5 541,9
квартира,ім.,5 536,9
побігти,діє. д.в.,5 515,9
радянський,прикм.,5 510,9
якраз,присл.,5 506,9
козацький,прикм.,5 471,9
згодом,присл.,5 455,9
гарячий,прикм.,5 441,9
служба,ім.,5 438,9
поспішати,діє. н.в.,5 425,9
острів,ім.,5 422,9
людський,прикм.,5 417,9
державний,прикм.,5 416,9
мовляв,вставне слово,5 403,9
засміятися,діє. д.в.,5 398,9
щасливий,прикм.,5 395,9
сміх,ім.,5 390,9
город,ім.,5 365,9
втратити,діє. д.в.,5 364,9
повільно,присл.,5 359,9
київський,прикм.,5 356,9
здивуватися,діє. д.в.,5 351,9
збагнути,діє. д.в.,5 348,9
продовжувати,діє. н.в.,5 342,9
хворий,прикм.,5 335,9
звук,ім.,5 323,9
перейти,діє. д.в.,5 321,9
чотири,кіл. числ.,5 319,9
минути,діє. д.в.,5 316,9
особа,ім.,5 309,9
центр,ім.,5 302,9
цікаво,присл.,5 302,9
гроші,ім.,5 300,9
черга,ім.,5 299,9
ясно,присл.,5 295,9
кабінет,ім.,5 285,9
язик,ім.,5 281,9
з-за,прийм.,5 267,9
Київ,ім.,5 261,9
триматися,діє. н.в.,5 249,9
понад,прийм.,5 242,9
глибина,ім.,5 237,9
отож,спол.,5 227,9
сонячний,прикм.,5 224,9
сухий,прикм.,5 217,9
рід,ім.,5 216,9
дивно,присл.,5 213,9
спосіб,ім.,5 212,9
половина,ім.,5 209,9
любий,прикм.,5 202,9
жіночий,прикм.,5 201,9
зразу,присл.,5 201,9
вбити,діє. д.в.,5 190,9
гріх,ім.,5 189,9
усміхнутися,діє. д.в.,5 185,9
узяти,діє. д.в.,5 181,9
наказ,ім.,5 179,9
ласка,ім.,5 178,9
довкола,присл.,5 165,9
риба,ім.,5 163,9
дещо,займ.,5 162,9
двоє,кіл. числ.,5 160,9
крісло,ім.,5 150,9
дякувати,діє. н.в.,5 148,9
захід,ім.,5 148,9
померти,діє. д.в.,5 143,9
нині,присл.,5 138,9
дим,ім.,5 134,9
неначе,спол.,5 119,9
межа,ім.,5 116,9
Москва,ім.,5 113,9
дівчинка,ім.,5 107,9
край,прийм.,5 106,9
вихід,ім.,5 103,9
вимагати,діє. н.в.,5 095,9
Росія,ім.,5 093,9
враз,присл.,5 087,9
куток,ім.,5 081,9
невеличкий,прикм.,5 079,9
українець,ім.,5 051,9
вдарити,діє. д.в.,5 036,9
кінець,прийм.,5 035,9
ближче,присл.,5 031,9
цікавий,прикм.,5 030,9
суд,ім.,5 022,9
спина,ім.,5 018,9
зброя,ім.,5 008,9
хлопчик,ім.,5 006,9
поглянути,діє. д.в.,5 004,9
особливий,прикм.,5 000,9
дурний,прикм.,4 996,9
чин,ім.,4 987,9
зняти,діє. д.в.,4 985,9
легкий,прикм.,4 972,9
тонкий,прикм.,4 964,9
простий,прикм.,4 960,9
пора,ім.,4 959,9
менше,присл.,4 953,9
більш,присл.,4 951,9
передати,діє. д.в.,4 948,9
могила,ім.,4 945,9
вперед,присл.,4 943,9
вгору,присл.,4 934,9
носити,діє. н.в.,4 933,9
битися,діє. н.в.,4 925,9
звісно,присудкове слово,4 915,9
право,ім.,4 908,9
можливість,ім.,4 891,9
полк,ім.,4 890,9
взятися,діє. д.в.,4 883,9
жах,ім.,4 872,9
щока,ім.,4 872,9
земний,прикм.,4 870,9
наприклад,вставне слово,4 867,9
вічний,прикм.,4 866,9
пляшка,ім.,4 861,9
давній,прикм.,4 857,9
втім,присл.,4 855,9
буває,вставне слово,4 854,9
негайно,присл.,4 854,9
сад,ім.,4 831,9
кохання,ім.,4 830,9
точно,присл.,4 828,9
кудись,присл.,4 815,9
відбуватися,діє. н.в.,4 812,9
трапитися,діє. д.в.,4 811,9
жовтий,прикм.,4 809,9
обидва,числ.,4 802,9
дійти,діє. д.в.,4 801,9
попросити,діє. д.в.,4 800,9
клас,ім.,4 798,9
окремий,прикм.,4 797,9
пізніше,присл.,4 791,9
щодо,прийм.,4 787,9
поле,ім.,4 784,9
теплий,прикм.,4 784,9
герой,ім.,4 780,9
бідний,прикм.,4 780,9
зуб,ім.,4 778,9
купити,діє. д.в.,4 763,9
партія,ім.,4 756,9
покинути,діє. д.в.,4 743,9
губа,ім.,4 728,9
момент,ім.,4 728,9
імператор,ім.,4 725,9
біда,ім.,4 721,9
розумний,прикм.,4 720,9
уста,ім.,4 717,9
навпаки,присл.,4 708,9
звернутися,діє. д.в.,4 707,9
звідти,присл.,4 702,9
прокинутися,діє. д.в.,4 699,9
кілька,кіл. числ.,4 698,9
колір,ім.,4 694,9
прочитати,діє. д.в.,4 692,9
звідси,присл.,4 682,9
Тарас,ім.,4 680,9
свіжий,прикм.,4 655,9
ситуація,ім.,4 655,9
відомо,присл.,4 652,9
дихати,діє. н.в.,4 646,9
вчора,присл.,4 637,9
податися,діє. д.в.,4 623,9
шапка,ім.,4 621,9
пустити,діє. д.в.,4 620,9
вищий,прикм.,4 619,9
здивувати,діє. д.в.,4 618,9
ото,частка,4 611,9
горіти,діє. н.в.,4 610,9
Олег,ім.,4 599,9
весело,присл.,4 597,9
сильний,прикм.,4 597,9
відкрити,діє. д.в.,4 587,9
увійти,діє. д.в.,4 586,9
коридор,ім.,4 574,9
все-таки,спол.,4 567,9
загинути,діє. д.в.,4 566,9
близько,присл.,4 562,9
кращий,прикм.,4 562,9
мовби,спол.,4 562,9
ставити,діє. н.в.,4 556,9
дикий,прикм.,4 553,9
почутися,діє. д.в.,4 548,9
енергія,ім.,4 545,9
простір,ім.,4 545,9
страшно,присл.,4 539,9
старшина,ім.,4 538,9
народний,прикм.,4 536,9
сивий,прикм.,4 536,9
чобіт,ім.,4 535,9
таємниця,ім.,4 535,9
порядок,ім.,4 532,9
доктор,ім.,4 532,9
схопити,діє. д.в.,4 525,9
лава,ім.,4 520,9
картина,ім.,4 517,9
невеликий,прикм.,4 516,9
організація,ім.,4 504,9
випити,діє. д.в.,4 502,9
гукнути,діє. д.в.,4 497,9
кухня,ім.,4 491,9
зустріти,діє. д.в.,4 487,9
гострий,прикм.,4 476,9
команда,ім.,4 475,9
дитячий,прикм.,4 462,9
годі,присудкове слово,4 461,9
юнак,ім.,4 439,9
шкіра,ім.,4 438,9
привести,діє. д.в.,4 437,9
скеля,ім.,4 428,9
усього,присл.,4 428,9
тікати,діє. н.в.,4 427,9
невідомий,прикм.,4 418,9
солдат,ім.,4 417,9
лишатися,діє. н.в.,4 413,9
факт,ім.,4 412,9
дивуватися,діє. н.в.,4 403,9
селянин,ім.,4 391,9
враження,ім.,4 390,9
нічний,прикм.,4 390,9
означати,діє. н.в.,4 387,9
честь,ім.,4 380,9
решта,ім.,4 374,9
шкода,присудкове слово,4 365,9
тяжкий,прикм.,4 359,9
обід,ім.,4 349,9
потрібно,присл.,4 347,9
товариство,ім.,4 346,9
страх,присл.,4 345,9
музика,ім.,4 344,9
пісок,ім.,4 335,9
підходити,діє. д.в.,4 329,9
начальник,ім.,4 323,9
незабаром,присл.,4 317,9
ага,вигук,4 299,9
міцний,прикм.,4 298,9
поволі,присл.,4 298,9
сумнів,ім.,4 296,9
почувати,діє. н.в.,4 287,9
бажати,діє. н.в.,4 276,9
генерал,ім.,4 273,9
туман,ім.,4 269,9
проходити,діє. н.в.,4 268,9
обіцяти,діє. н.в.,4 251,9
поряд,присл.,4 249,9
запорожець,ім.,4 249,9
Оксана,ім.,4 244,9
спершу,присл.,4 239,9
метр,ім.,4 237,9
дорогий,прикм.,4 236,9
попереду,присл.,4 236,9
зате,спол.,4 235,9
вовк,ім.,4 230,9
пес,ім.,4 225,9
зібратися,діє. д.в.,4 223,9
озватися,діє. д.в.,4 218,9
ради,прийм.,4 217,9
уявляти,діє. н.в.,4 212,9
тітка,ім.,4 208,9
вірш,ім.,4 206,9
озеро,ім.,4 203,9
щоби,спол.,4 201,9
уважно,присл.,4 200,9
уявити,діє. д.в.,4 190,9
перебувати,діє. н.в.,4 182,9
